文件名称,文件大小,文件类型,文件最后修改时间,文件所在目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录,子目录
Teld.Core.HSF.EventNotify.pdb,44544,.pdb,2020/9/3 22:57:11,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.Monitor.dll,33280,.dll,2020/9/3 22:57:13,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.Monitor.pdb,54784,.pdb,2020/9/3 22:57:13,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.Service.dll,77312,.dll,2020/9/3 22:57:14,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.Service.pdb,196096,.pdb,2020/9/3 22:57:14,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.Service.xml,8728,.xml,2020/9/3 22:57:14,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.ServiceDAC.dll,4608,.dll,2020/9/3 22:57:12,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.ServiceDAC.pdb,11776,.pdb,2020/9/3 22:57:12,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.SPI.dll,49152,.dll,2020/9/3 22:57:02,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.SPI.pdb,157184,.pdb,2020/9/3 22:57:02,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.Statistic.dll,11776,.dll,2020/9/3 22:57:11,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.HSF.Statistic.pdb,24064,.pdb,2020/9/3 22:57:11,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.Log.SPI.dll,62464,.dll,2019/12/11 17:32:20,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.Log.SPI.pdb,185856,.pdb,2019/12/11 17:32:20,C:\Users\zhougq\Desktop\MySQL迁移\HSF20200901\HSFService.2.4.0.6\lib\net451,HSF20200901,HSFService.2.4.0.6,lib,net451,,,,,,,,
Teld.Core.RequestProxy.Service.dll,68608,.dll,2020/9/1 11:40:10,C:\Users\zhougq\Desktop\MySQL迁移\RequestContainer,RequestContainer,,,,,,,,,,,
Teld.Core.RequestProxy.Service.pdb,261632,.pdb,2020/9/1 11:40:10,C:\Users\zhougq\Desktop\MySQL迁移\RequestContainer,RequestContainer,,,,,,,,,,,
